ITEM|SOURCE|DEST|SOURCING|TRANSMODE|EFF|DISC|PRIORITY|FACTOR|U_PLANMODULE
2000-309-877|1006|1004|2000-309-877_1006_1004|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-311-262|1004|1011|2000-311-262_1004_1011|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-311-262|1029|1011|2000-311-262_1029_1011|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-314-350|1006|1004|2000-314-350_1006_1004|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2001-000-001|1004|VF|2001-000-001_1004_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2001-001-001|1004|VF|2001-001-001_1004_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2001-001-001|1011|VF|2001-001-001_1011_VF|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
N44236-002|VF_S|1004|N44236-002_VF_S_1004|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
N55628-004|VF_S|1004|N55628-004_VF_S_1004|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
2000-293-736|1004|1029|2000-293-736_1004_1029|IFTransmode|01-01-1970|01-01-1970|1|1|BY_IF
