ITEM|LOC|PRODUCTIONMETHOD|DESCR|BOMNUM|EFF|DISC|LEADTIME|LEADTIMEEFFCNYCAL|NONEWSUPPLYDATE|PRIORITY|INCQTY|SPLITFACTOR|U_PLANMODULE
2000-293-669|1020|2000-293-669_1020_422|2000-293-669_1020_422|422|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-669|1006|2000-293-669_1006_423|2000-293-669_1006_423|423|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-673|1020|2000-293-673_1020_418|2000-293-673_1020_418|418|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-673|1006|2000-293-673_1006_419|2000-293-673_1006_419|419|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-003|1006|2001-001-003_1006_432|2001-001-003_1006_432|432|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-003|1020|2001-001-003_1020_433|2001-001-003_1020_433|433|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-002|1006|2001-001-002_1006_428|2001-001-002_1006_428|428|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-001-002|1020|2001-001-002_1020_429|2001-001-002_1020_429|429|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-667|1006|2000-293-667_1006_430|2000-293-667_1006_430|430|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-667|1020|2000-293-667_1020_431|2000-293-667_1020_431|431|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-678|1020|2000-293-678_1020_426|2000-293-678_1020_426|426|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-293-678|1006|2000-293-678_1006_427|2000-293-678_1006_427|427|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-000-001|1004|2001-000-001_1004_458|2001-000-001_1004_458|458|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-322-146|1004|2000-322-146_1004_460|2000-322-146_1004_460|460|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-322-142|1004|2000-322-142_1004_459|2000-322-142_1004_459|459|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-350|1006|2000-314-350_1006_467|2000-314-350_1006_467|467|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-877|1006|2000-309-877_1006_471|2000-309-877_1006_471|471|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
N55628-004|VF_S|N55628-004_VF_S_463|N55628-004_VF_S_463|463|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-348|1006|2000-314-348_1006_468|2000-314-348_1006_468|468|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-879|1006|2000-309-879_1006_474|2000-309-879_1006_474|474|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-313-096|1006|2000-313-096_1006_478|2000-313-096_1006_478|478|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-196|1006|2000-314-196_1006_469|2000-314-196_1006_469|469|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-301-518|1006|2000-301-518_1006_470|2000-301-518_1006_470|470|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-314-192|1006|2000-314-192_1006_473|2000-314-192_1006_473|473|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-000-003|1006|2001-000-003_1006_476|2001-000-003_1006_476|476|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-414|1006|2000-309-414_1006_472|2000-309-414_1006_472|472|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-000-002|1006|2001-000-002_1006_477|2001-000-002_1006_477|477|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-309-416|1006|2000-309-416_1006_475|2000-309-416_1006_475|475|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2001-000-004|1006|2001-000-004_1006_479|2001-000-004_1006_479|479|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-1_COMMON|2000-280-869_1006_275_INTEL FOV-1_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-2_COMMON|2000-280-869_1006_275_INTEL FOV-2_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-4_COMMON|2000-280-869_1006_275_INTEL FOV-4_COMMON|275|01-01-1970|01-01-9999|10080||07-07-2025|1|25|1|BY_IF
