RES|LOC|DESCR|TYPE|CAL|CHECKMAXCAP|STAGE|RELEASEFENCEDUR|PEGGINGSW|U_RESTYPE|U_HIERCOL_1|U_HIERCOL_2|U_PLANMODULE
VNAT envelop HXV|1011|VNAT envelop HXV|4|R_CAL_VNAT envelop HXV|4|TEST|0|1|CAPACITY ENVELOPE|||BY_IF
VNAT envelop EP-Assy|1029|VNAT envelop EP-Assy|4|R_CAL_VNAT envelop EP-Assy|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
VNAT envelop HX-Assy|1029|VNAT envelop HX-Assy|4|R_CAL_VNAT envelop HX-Assy|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
RES_IHS-N44236-002|VF_S|RES_IHS-N44236-002|4|R_CAL_IHS-N44236-002|4|ASSY|365|1|SUPPLIER RTF|||BY_IF
RES_SubstrateMaxGrp|VF_S|RES_SubstrateMaxGrp|4|R_CAL_SubstrateMaxGrp|4|ASSY|365|1|SUPPLIER RTF|||BY_IF
RES_STD_CORE|VF_S|RES_STD_CORE|4|R_CAL_STD_CORE|4|ASSY|365|1|SUPPLIER RTF|||BY_IF
KuAT_Envelop_TSXf|1004|KuAT_Envelop_TSXf|4|R_CAL_KuAT_Envelop_TSXf|4|AssyTestFinish|0|1|CAPACITY ENVELOPE|||BY_IF
KM5_CaymanPoint|1004|KM5_CaymanPoint|4|R_CAL_KM5_CaymanPoint|4|AssyTestFinish|0|1|CAPACITY ENVELOPE|||BY_IF
VNAT envelop EP-Assy|1004|VNAT envelop EP-Assy|4|R_CAL_VNAT envelop EP-Assy|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
VNAT envelop HX-Assy|1004|VNAT envelop HX-Assy|4|R_CAL_VNAT envelop HX-Assy|4|ASSY|0|1|CAPACITY ENVELOPE|||BY_IF
