ITEM|SUBORD|LOC|BOMNUM|OFFSET|EFF|DISC|DRAWQTY|YIELDCAL|YIELDFACTOR|U_INTEL_BOMID|U_PLANMODULE
100000000113|2000-281-391|1006|295|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_100000000113_1006|100||BY_IF
2000-280-868|2000-001-049|1003|243|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-280-868_1003|100||BY_IF
2000-280-868|2000-001-049|1006|242|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-280-868_1006|100||BY_IF
2000-281-512|2000-281-446|1003|244|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-512_1003|100||BY_IF
2000-281-512|2000-281-446|1006|245|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-512_1006|100||BY_IF
2000-281-514|2000-281-452|1003|247|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-514_1003|100||BY_IF
2000-281-514|2000-281-452|1006|246|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-514_1006|100||BY_IF
2000-281-427|2000-281-424|1003|240|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-427_1003|100||BY_IF
2000-281-427|2000-281-424|1006|241|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-427_1006|100||BY_IF
2000-281-391|2000-001-050|1003|248|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-391_1003|100||BY_IF
2000-281-391|2000-001-050|1006|249|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-391_1006|100||BY_IF
2000-281-424|100000000101|1020|251|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-424_1020|100||BY_IF
2000-281-424|100000000101|1006|252|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-424_1006|100||BY_IF
2000-001-049|2000-280-869|1020|298|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-001-049_1020|100||BY_IF
2000-001-049|2000-280-869|1006|253|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-001-049_1006|100||BY_IF
2000-281-446|100000000102|1020|269|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-446_1020|100||BY_IF
2000-281-446|100000000102|1006|268|0|01-01-1970|01-01-9999|1|IF_BOM_YCAL_2000-281-446_1006|100||BY_IF
