ITEM|LOC|PRODUCTIONMETHOD|STEPNUM|EFF|RES|PRODRATE|PRODRATECAL|PRODDUR|NEXTSTEPTIMING|U_PLANMODULE
2000-309-877|1006|2000-309-877_1006_471|1|01-01-1970| |1.0||0|1|BY_IF
N55628-004|VF_S|N55628-004_VF_S_463|10|01-01-1970| |1.0||1440|1|BY_IF
N55628-004|VF_S|N55628-004_VF_S_463|20|01-01-1970|RES_STD_CORE|1.0|PR_CAL_N55628-004_VF_S_20|1440|1|BY_IF
N55628-004|VF_S|N55628-004_VF_S_463|30|01-01-1970|RES_SubstrateMaxGrp|1.0||1440|1|BY_IF
2000-314-348|1006|2000-314-348_1006_468|1|01-01-1970| |1.0||0|1|BY_IF
2000-314-196|1006|2000-314-196_1006_469|1|01-01-1970| |1.0||0|1|BY_IF
2000-301-518|1006|2000-301-518_1006_470|1|01-01-1970| |1.0||0|1|BY_IF
2001-000-003|1006|2001-000-003_1006_476|1|01-01-1970| |1.0||0|1|BY_IF
2000-309-414|1006|2000-309-414_1006_472|1|01-01-1970| |1.0||0|1|BY_IF
2001-000-002|1006|2001-000-002_1006_477|1|01-01-1970| |1.0||0|1|BY_IF
2001-000-004|1006|2001-000-004_1006_479|1|01-01-1970| |1.0||0|1|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-1_COMMON|1|01-01-1970|RES_INTEL FOV-1_COMMON_F21|1.0|IF_PR_275_INTEL FOV-1|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-1_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-1|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-1_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-2_COMMON|1|01-01-1970|RES_INTEL FOV-2_COMMON_F21|1.0|IF_PR_275_INTEL FOV-2|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-2_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-2|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-2_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-4_COMMON|1|01-01-1970|RES_INTEL FOV-4_COMMON_F21|1.0|IF_PR_275_INTEL FOV-4|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-4_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-4|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-4_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-5_COMMON|1|01-01-1970|RES_INTEL FOV-5_COMMON_F21|1.0|IF_PR_275_INTEL FOV-5|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-5_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-5|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-5_COMMON|3|01-01-1970|RES_METEOR LAKE-BASE-P682_8POACVBA_F21|1.0||1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-6_COMMON|1|01-01-1970|RES_INTEL FOV-6_COMMON_F21|1.0|IF_PR_275_INTEL FOV-6|1440|3|BY_IF
2000-280-869|1006|2000-280-869_1006_275_INTEL FOV-6_COMMON|2|01-01-1970|RES_CG-1227_F21|1.0|IF_PR_275_INTEL FOV-6|1440|3|BY_IF
