ITEM|LOC|CONSTRSTOCKLOWDATE|CONSTRSTOCKLOWDUR|CONSTRSTOCKLOWQTY|CONSTRSTOCKOUTDATE|CONSTRSTOCKOUTQTY|CONSTRSTOCKOUTDUR|MAXCONSTRPROJOHDATE|MAXCONSTRCOVDATE|MAXCONSTRCOVDUR|MAXCONSTRPROJOH|MINCONSTRCOVDATE|MINCONSTRCOVDUR|OPTIONSET|PROCESSDATE|STARTDATE|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000029|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000030|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000031|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000032|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000033|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000034|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000101|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000102|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000103|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000110|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000111|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000112|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000113|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000001002|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000001003|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002008|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002009|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002010|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002013|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002014|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000002015|1006|01-JAN-1970|0|0|01-JAN-1970|0|0||01-JAN-1970|0|0|01-JAN-1970|0|BATCH_IF_SSP|10-NOV-2025|26-JUL-2025|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
