LOC|RES|STARTDATE|OPTIONSET|AVAILCAP|MPPOLOAD|MPSCHEDRCPTLOAD|MPTOTLOAD|MPTOTLOADFCSTORDER|PCTUSED|RESCOUNTEXCEPTION|RESSOURCEEXCEPTION|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
1003|ACWaa_1003|07-MAR-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|14-MAR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|21-MAR-2026|BATCH_IF_SRP|2354.5555560000003|0|0|69.44444399999998|0|2.864869801980197|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|28-MAR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|04-APR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|11-APR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|18-APR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|25-APR-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|02-MAY-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|09-MAY-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|16-MAY-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|23-MAY-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|30-MAY-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|06-JUN-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|13-JUN-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|20-JUN-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|27-JUN-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|04-JUL-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|11-JUL-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|18-JUL-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
1003|ACWaa_1003|25-JUL-2026|BATCH_IF_SRP|2354.555556|0|0|69.4444440000002|0|2.8648698019802064|0|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
