ITEM|SOURCE|DEST|SEQNUM|HEADERSEQNUM|SCHEDARRIVDATE|SCHEDSHIPDATE|QTY|FIRMPLANSW|SOURCING|TRANSMODE|PROJECT|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000005|1004|VF|3954|3954|03-APR-2027|03-APR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3955|3955|10-APR-2027|10-APR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3956|3956|17-APR-2027|17-APR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3957|3957|24-APR-2027|24-APR-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3958|3958|01-MAY-2027|01-MAY-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3959|3959|08-MAY-2027|08-MAY-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3960|3960|15-MAY-2027|15-MAY-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3961|3961|22-MAY-2027|22-MAY-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3962|3962|29-MAY-2027|29-MAY-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3963|3963|05-JUN-2027|05-JUN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3964|3964|12-JUN-2027|12-JUN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3965|3965|19-JUN-2027|19-JUN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3966|3966|26-JUN-2027|26-JUN-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3967|3967|03-JUL-2027|03-JUL-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3968|3968|10-JUL-2027|10-JUL-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3969|3969|17-JUL-2027|17-JUL-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000005|1004|VF|3970|3970|24-JUL-2027|24-JUL-2027|75|0|100000000005_1004_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1571|1571|01-AUG-2026|01-AUG-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1572|1572|08-AUG-2026|08-AUG-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1573|1573|15-AUG-2026|15-AUG-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|1003|VF|1574|1574|22-AUG-2026|22-AUG-2026|37.5|0|100000000008_1003_VF|IFTransmode| |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
