ITEM|RES|LOC|SUPPLYTYPE|PRODUCTIONMETHOD|STEPNUM|WHENLOADED|LOADQTY|SOURCEOPT|RESLOC|CUSTORDLOADQTY|FCSTORDLOADQTY|SSLOADQTY|SUPPLYQTY|STARTDATE|SUPPLYSEQNUM|SOURCE|NEEDDATE|SCHEDDATE|EXPDATE|PROCESSID|OFFSET|ROUTINGNEEDCOMPLETEDATE|DMDNEEDDATE|DMDORDERSEQNUM|DMDORDERTYPE|SUPPLYORDERSEQNUM|OPTIONSETNAME|SUPPLYORDERNUM|LOADDUR|DMDEXPDATE|IMPORTEDSW|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|13-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|11-APR-2026|1373| |01-JAN-1970|23-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1373|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|13-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|11-APR-2026|1374| |01-JAN-1970|23-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1374|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|13-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|11-APR-2026|1375| |01-JAN-1970|23-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1375|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|20-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|18-APR-2026|1376| |01-JAN-1970|30-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1376|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|20-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|18-APR-2026|1377| |01-JAN-1970|30-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1377|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|20-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|18-APR-2026|1378| |01-JAN-1970|30-APR-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1378|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|27-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|25-APR-2026|1379| |01-JAN-1970|07-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1379|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|27-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|25-APR-2026|1380| |01-JAN-1970|07-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1380|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|27-APR-2026|10.245901|1|1006|0|10.245901|0|12.5|25-APR-2026|1381| |01-JAN-1970|07-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1381|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|04-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|02-MAY-2026|1382| |01-JAN-1970|14-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1382|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|04-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|02-MAY-2026|1383| |01-JAN-1970|14-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1383|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|04-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|02-MAY-2026|1384| |01-JAN-1970|14-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1384|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|11-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|09-MAY-2026|1385| |01-JAN-1970|21-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1385|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|11-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|09-MAY-2026|1386| |01-JAN-1970|21-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1386|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|11-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|09-MAY-2026|1387| |01-JAN-1970|21-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1387|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|18-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|16-MAY-2026|1388| |01-JAN-1970|28-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1388|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|18-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|16-MAY-2026|1389| |01-JAN-1970|28-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1389|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|18-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|16-MAY-2026|1390| |01-JAN-1970|28-MAY-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1390|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|25-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|23-MAY-2026|1391| |01-JAN-1970|04-JUN-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1391|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|25-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|23-MAY-2026|1392| |01-JAN-1970|04-JUN-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1392|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|25-MAY-2026|10.245901|1|1006|0|10.245901|0|12.5|23-MAY-2026|1393| |01-JAN-1970|04-JUN-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1393|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
100000000008|PLHcb_1006|1006|2|100000000008_1006_9001_PV2|21|01-JUN-2026|10.245901|1|1006|0|10.245901|0|12.5|30-MAY-2026|1394| |01-JAN-1970|11-JUN-2026|01-JAN-1970|0|0|01-JAN-1970|01-JAN-1970|-1|-1|-1| |1394|0|01-JAN-1970|0|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
