ITEM|LOC|SEQNUM|SCHEDDATE|STARTDATE|QTY|PRODUCTIONMETHOD|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
2000-293-667|1006|6726|21-MAR-2027|20-MAR-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6725|14-MAR-2027|13-MAR-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6724|07-MAR-2027|06-MAR-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6723|28-FEB-2027|27-FEB-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6722|21-FEB-2027|20-FEB-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6721|14-FEB-2027|13-FEB-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6720|07-FEB-2027|06-FEB-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6719|31-JAN-2027|30-JAN-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6718|24-JAN-2027|23-JAN-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6717|17-JAN-2027|16-JAN-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6716|10-JAN-2027|09-JAN-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6715|03-JAN-2027|02-JAN-2027|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6714|27-DEC-2026|26-DEC-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
2000-293-667|1006|6713|20-DEC-2026|19-DEC-2026|77.301651|2000-293-667_1006_430|202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
