FUNCTIONNAME|FUNCTIONNUM|DESCR|EXCEPTION|WHEN|USERID|EXCEPTIONDATE|SEQNUM|PARENTITEM|DEMANDQTY|LOC|ITEM|BATCHNUM|PROCESSID|PURCHMETHOD|PRODUCTIONMETHOD|SOURCING|PARENTLOC|BOMNUM|OFFSET|EFF|LEVELNUM|REVIEWEDSTATUS|CATEGORY|SEVERITY|LASTUPDATEDON|LASTUPDATEDBY|MINVAL|MAXVAL|SCHEDVAL|VIOLATIONVAL|DUR|BAND|PRIORITY|ALTSUBORD|ALTSUBORDLOC|CAPTURE_WK|CAPTURE_TYPE|SIMULATION_NAME|SOLVE_VERSION|U_PLANMODULE
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|27| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|28| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|29| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-5_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|30| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|31| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|32| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|33| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|34| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|35| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-6_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|36| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|37| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|38| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_COMMON| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|39| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|40| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|41| |0|1006|2000-314-191|50|11501| |2000-314-191_1006_480_INTEL FOV-7_IFS| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|42| |0|1011|100|50|11501| |100000000004_1011_304| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|43| |0|1011|100|50|11501| |100000000004_1011_304| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|44| |0|1011|2000-291-742|50|11501| |2000-291-742_1011_314| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|45| |0|1011|2000-291-749|50|11501| |2000-291-749_1011_313| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|46| |0|VF_S|N55628-004|50|11501| |N55628-004_VF_S_463| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|47| |0|VF_S|N55628-004|50|11501| |N55628-004_VF_S_463| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production method has an invalid BOM number|5626|10-NOV-2025| |26-JUL-2025|48| |0|VF_S|N55628-004|50|11501| |N55628-004_VF_S_463| | |0|0|01-JAN-1970|0|1|511|3|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|49| |25.380711|1003|2000-281-391|50|11501| |2000-281-391_1003_248| | |248|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|50| |25.380711|1003|2000-281-512|50|11501| |2000-281-512_1003_244| | |244|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|51| |25.380711|1003|2000-281-514|50|11501| |2000-281-514_1003_247| | |247|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|52| |25.380711|1003|2000-281-512|50|11501| |2000-281-512_1003_244| | |244|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|53| |25.380711|1003|2000-281-514|50|11501| |2000-281-514_1003_247| | |247|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |15-JUL-2025|54| |20|1006|100000000008|50|11501| |100000000008_1006_283_PV1| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |15-JUL-2025|55| |20|1006|100000000008|50|11501| |100000000008_1006_283_PV1| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|56| |25.380711|1003|2000-281-427|50|11501| |2000-281-427_1003_240| | |240|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|57| |25.380711|1003|2000-281-391|50|11501| |2000-281-391_1003_248| | |248|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|58| |25.380711|1003|2000-281-427|50|11501| |2000-281-427_1003_240| | |240|0|01-JAN-1970|2|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |15-JUL-2025|59| |20|1003|100000000008|50|11501| |100000000008_1003_285_PV1| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|60| |20|1004|100000000005|50|11501| |100000000005_1004_305| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|61| |20|1004|100000000004|50|11501| |100000000004_1004_303| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|62| |20|1003|2000-280-868|50|11501| |2000-280-868_1003_243| | |243|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Sourcing lead time|6704|09-NOV-2025| |19-JUL-2025|63| |76.142128|1020|2000-285-677|50|11501| | |2000-285-677_1003_1020| |0|0|01-JAN-1970|4|1|616|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Sourcing lead time|6704|09-NOV-2025| |19-JUL-2025|65| |76.142128|1020|2000-285-677|50|11501| | |2000-285-677_1003_1020| |0|0|01-JAN-1970|4|1|616|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Sourcing lead time|6704|09-NOV-2025| |19-JUL-2025|67| |50.761421|1017|100000002013|50|11501| | |100000002013_1006_1017| |0|0|01-JAN-1970|3|1|616|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |15-JUL-2025|68| |20|1003|100000000008|50|11501| |100000000008_1003_285_PV1| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|69| |20|1003|2000-280-868|50|11501| |2000-280-868_1003_243| | |243|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|70| |20|1004|100000000005|50|11501| |100000000005_1004_305| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
Generate Master Plan LpOpt|401|Production lead time|6702|09-NOV-2025| |25-JUL-2025|71| |20|1004|100000000004|50|11501| |100000000004_1004_303| | |0|0|01-JAN-1970|1|1|610|1|01-JAN-1970| |0|0|0|0|0|0|0| | |202547|CONSTRAINED|CONSTRAINED|CONSTRAINED_202547_2025-11-20_0656|BY_IF
